Method,Area Size,Number of Drones,Number of Users,Coverage,Average Signal Strength,Average Energy Consumption,Execution Time (s)
DFO,30,10,50,50,-25.321533045329332,100.0,0.2990114688873291
Random,30,10,100,100,-29.861133520847318,100.0,0.0
Grid,30,10,100,100,inf,100.0,0.0
Greedy,30,10,100,100,-26.585413472804106,100.0,0.019991397857666016
PSO,30,10,100,100,-25.797851889584724,100.0,0.4289212226867676
DFO,30,10,100,100,-29.861133520847318,100.0,0.6284382343292236
Random,30,10,150,150,-24.19030021296684,100.0,0.0
Grid,30,10,150,150,inf,100.0,0.0
Greedy,30,10,150,150,-23.292706736402053,100.0,0.03370785713195801
PSO,30,10,150,150,-26.609129609890466,100.0,0.6569726467132568
DFO,30,10,150,150,-24.19030021296684,100.0,0.8922426700592041
Random,30,20,50,50,-29.65157312401406,100.0,0.0
Grid,30,20,50,50,inf,100.0,0.0
Greedy,30,20,50,50,-26.178888774416706,100.0,0.01779770851135254
PSO,30,20,50,50,-26.463714703821484,100.0,0.3496577739715576
DFO,30,20,50,50,-29.65157312401406,100.0,0.7460117340087891
Random,30,20,100,100,-28.349236928038533,100.0,0.0
Grid,30,20,100,100,inf,100.0,0.0
Greedy,30,20,100,100,-25.50907468880581,100.0,0.02938365936279297
PSO,30,20,100,100,-26.42777985001617,100.0,0.7458312511444092
DFO,30,20,100,100,-28.349236928038533,100.0,1.3346443176269531
Random,30,20,150,150,-27.962243625641754,100.0,0.0
Grid,30,20,150,150,inf,100.0,0.0
Greedy,30,20,150,150,-23.292706736402053,100.0,0.03397488594055176
PSO,30,20,150,150,-26.646466266489277,100.0,1.0410540103912354
DFO,30,20,150,150,-27.962243625641754,100.0,1.5604274272918701
Random,30,30,50,50,inf,100.0,0.0
Grid,30,30,50,50,inf,100.0,0.0
Greedy,30,30,50,50,-23.292706736402053,100.0,0.020754575729370117
PSO,30,30,50,50,-27.52508355764728,100.0,0.549938440322876
DFO,30,30,50,50,inf,100.0,1.381697177886963
Random,30,30,100,100,inf,100.0,0.0
Grid,30,30,100,100,inf,100.0,0.0
Greedy,30,30,100,100,inf,100.0,0.025693416595458984
PSO,30,30,100,99,-26.912313517024597,100.0,1.0517477989196777
DFO,30,30,100,100,inf,100.0,1.7960081100463867
Random,30,30,150,150,-30.969833619105284,100.0,0.0
Grid,30,30,150,150,inf,100.0,0.0
Greedy,30,30,150,150,-23.292706736402053,100.0,0.08983302116394043
PSO,30,30,150,150,-27.066399126630962,100.0,1.5420212745666504
DFO,30,30,150,150,-30.969833619105284,100.0,4.696858644485474
Random,30,40,50,50,inf,100.0,0.0
Grid,30,40,50,50,inf,100.0,0.0
Greedy,30,40,50,50,-26.585413472804106,100.0,0.017224550247192383
PSO,30,40,50,50,-28.261531867758414,100.0,0.7264270782470703
DFO,30,40,50,50,inf,100.0,1.4976470470428467
Random,30,40,100,100,inf,100.0,0.0
Grid,30,40,100,100,inf,100.0,0.0
Greedy,30,40,100,100,-28.292706736402053,100.0,0.03613448143005371
PSO,30,40,100,100,-27.02163785474226,100.0,1.2989985942840576
DFO,30,40,100,100,inf,100.0,2.975929021835327
Random,30,40,150,150,inf,100.0,0.0
Grid,30,40,150,150,inf,100.0,0.0
Greedy,30,40,150,150,-26.80046476502097,100.0,0.09331393241882324
PSO,30,40,150,150,-26.647954261398297,100.0,2.0855348110198975
DFO,30,40,150,150,inf,100.0,4.006331920623779
Random,30,50,50,50,-29.366811917508958,100.0,0.0
Grid,30,50,50,50,inf,100.0,0.0
Greedy,30,50,50,50,-26.585413472804106,100.0,0.02813124656677246
PSO,30,50,50,50,-27.34376936344314,100.0,1.0414960384368896
DFO,30,50,50,50,-29.366811917508958,100.0,2.361585855484009
Random,30,50,100,100,inf,100.0,0.0
Grid,30,50,100,100,inf,100.0,0.0009829998016357422
Greedy,30,50,100,100,-26.249387366083,100.0,0.02366018295288086
PSO,30,50,100,100,-26.819659784124795,100.0,2.1099557876586914
DFO,30,50,100,100,inf,100.0,3.5804083347320557
Random,30,50,150,150,inf,100.0,0.0
Grid,30,50,150,150,inf,100.0,0.0
Greedy,30,50,150,150,-23.292706736402053,100.0,0.044899702072143555
PSO,30,50,150,150,-26.891907098971934,100.0,2.292112350463867
DFO,30,50,150,150,inf,100.0,5.9027488231658936
Random,30,60,50,50,-28.424472770335377,100.0,0.0
Grid,30,60,50,50,inf,100.0,0.0
Greedy,30,60,50,50,-26.585413472804106,100.0,0.01909613609313965
PSO,30,60,50,50,-27.72660526616264,100.0,1.1606793403625488
DFO,30,60,50,50,-28.424472770335377,100.0,2.9472570419311523
Random,30,60,100,100,inf,100.0,0.0
Grid,30,60,100,100,inf,100.0,0.0009989738464355469
Greedy,30,60,100,100,-27.44727494896694,100.0,0.03989124298095703
PSO,30,60,100,100,-27.942730659913522,100.0,1.8822605609893799
DFO,30,60,100,100,inf,100.0,4.280560493469238
Random,30,60,150,150,-28.55897313724739,100.0,0.0
Grid,30,60,150,150,inf,100.0,0.0013539791107177734
Greedy,30,60,150,150,-23.292706736402053,100.0,0.04288005828857422
PSO,30,60,150,150,-26.89606693699417,100.0,2.6816909313201904
DFO,30,60,150,150,-28.55897313724739,100.0,7.391909837722778
Random,50,10,50,32,-31.914203438992338,100.0,0.0
Grid,50,10,50,50,inf,100.0,0.0
Greedy,50,10,50,50,inf,100.0,0.017353057861328125
PSO,50,10,50,37,-31.77874945633946,100.0,0.18466830253601074
DFO,50,10,50,32,-31.914203438992338,100.0,0.6207571029663086
Random,50,10,100,76,-22.828994932874114,100.0,0.0
Grid,50,10,100,100,inf,100.0,0.0
Greedy,50,10,100,100,inf,100.0,0.04569864273071289
PSO,50,10,100,56,-32.40272363983446,100.0,0.28313636779785156
DFO,50,10,100,76,-22.828994932874114,100.0,1.5280210971832275
Random,50,10,150,123,-29.273047739341973,100.0,0.0
Grid,50,10,150,148,inf,100.0,0.0
Greedy,50,10,150,150,inf,100.0,0.0947427749633789
PSO,50,10,150,94,-32.60428272524319,100.0,0.5436491966247559
DFO,50,10,150,123,-29.273047739341973,100.0,1.7504215240478516
Random,50,20,50,48,inf,100.0,0.0
Grid,50,20,50,50,inf,100.0,0.0
Greedy,50,20,50,50,-30.75732933948346,100.0,0.02453756332397461
PSO,50,20,50,36,-31.26552232944806,100.0,0.3968691825866699
